name,alpha_acid,origin,beta_acid,notes,substitutes,total_oil,myrcene,humulene,cohumulone,caryophyllene,farnesene
Outeniqua,12.75,South Africa,4.6,,Southern Star,1.6,40.5,30.5,27.5,9.5,0.5
Pilot,9.75,UK,4.15,,,1.1,35,0.0,32.5,0.0,1
Lubelska-Pulawy,6,Poland,4,Pleasant European characteristics,"Brewer’s Gold, Nugget, Glacier",0.44,52,14,24,5,12
Pacifica,5.5,New Zealand,6,"Citrusy, spicy, orange and floral aromas",Liberty,0.5,12.5,50.9,25,16.7,0.2
Sun,14,US,5.75,Pronounced herbaceous aroma and flavor,"Magnum, Galena, Zeus",0.0,62.5,12.5,35,7.5,1
Zlatan,5.2,Czechia,4.3,"Mild bitterness, pleasant noble aroma",,0.0,0.0,0.0,21,0.0,0.0
Bramling Cross,6.4,UK,2.75,"Chrysanthemum, Bitter grapefruit, Caramel, Gooseberry, Vanilla","Whitbread Golding, Progress, East Kent Golding",0.95,37.5,30.5,34,16,0.5
Neo1,8,US,3.15,Significant lemon-citrus character,,0.0,0.0,0.0,0.0,0.0,0.0
Amethyst,4,Czech Republic,7.5,"Notably earthy, citrusy and spicy",,0.2,42,19,24,6,0.0
Aquila,7.800000000000001,US,4.5,,"Cluster, Galena",0.725,62,2,46,5,2.2
Liberty,4.5,US,3.5,Noble hop characteristics,"Hallertau, Mount Hood, Tradition",0.65,46,31,26,10.5,1
Petham Golding,6.9,UK,2,,,0.575,57,16,28,9,0.0
Serebrianka,3.5,Russia,3,"Continental aroma and taste with hints of black tea, herbs and tobacco",,0.2,30,27,23,8,12
Tolhurst,2.2,UK,2.9,Subdued but pleasant continental-style aroma,,0.325,42.5,19.4,31,7.7,8.3
Millennium,15.5,Unknown,4.8,"Strawberry, Elderflower, Chocolate, Toffee, Pear","Columbus, Nugget, Summit™, CTZ",2,35,25,30,10.5,1
Super Pride,14.25,Australia,6.65,"Spicy, Chocolate, Curry, Gingerbread, Marjoram",Pride of Ringwood,2.35,26.5,1.5,27.4,6.5,0.5
Precoce de Bourgogne,3.4,France,3.1,,,0.17,45,20,23,5.9,10.6
Styrian Golding,4.4,Austria and Slovenia,2.5,Resinous and earthy with hints of white pepper,"Fuggle, Willamette, Bobek",0.25,30,36,27.5,10,3.5
Summer,6,Australia,5.449999999999999,"Vegetable, Fennel, Tarragon, Aniseed, Melissa",Saaz,1.7,33.5,39,22.5,9.5,1
Tettnanger A,4.4,Germany,5,Pleasant continental-style aroma,"Tettnanger, Saaz, Hallertau",0.425,47.2,16.6,23,5.1,13.6
Zythos®,11.25,US,5.45,"Notes of tangerine, grapefruit, pine and pineapple","Simcoe®, Amarillo®",0.95,0.0,0.0,29.5,0.0,0.0
California Cluster,7,US,5,Generic hop bitterness and flavor,"Eroica, Galena",0.0,0.0,0.0,39,0.0,0.0
Coigneau,0.0,Belgium,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Perle,8.5,Germany,3.5,"Leek, Celeriac, Chilli, Marjoram","Perle (US), Northern Brewer (GR)",0.8999999999999999,20,29,28,10.2,0.2
Wakatu,7.5,New Zealand,8.5,"Floral, lime aromas",,0.5,36,17,29,8,6.7
Backa,5,Serbia,5.7,,,0.3,0.0,0.0,25,0.0,0.0
Olympic,12.2,US,4.949999999999999,Notes of spice and citrus,"Galena, Nugget, Chinook",1.7049999999999998,40.8,12.2,31,12,0.9
Bate’s Brewer,0.0,UK,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Dana,13.5,Slovenia,5,Subtle floral and citrus flavors,,3.15,54.5,18.3,29.5,6.65,7.8
Density,5.5,UK,3.3,,Defender,0.22,57,17,36,7,0.3
Santiam,6.5,US,6.9,"Soft, herbal, floral, fruity aromas with hints of pepper and spice","Tettnanger, Spalt, Spalter Select, Hallertau, Liberty",1.5,30.5,24.5,21,6.800000000000001,14.5
Tahoma,7.699999999999999,US,9,,,1.5,69.5,10,16,3.2,1
Vanguard,5.2,US,6.5,,"Liberty, Mount Hood, Hallertauer Mittelfrüh, Saaz",1.05,22.5,47.5,15,13,0.5
